HYG_ID,Name,Code,X,Y,3D_X,3D_Y,3D_Z,Spectrum,AbsMag,ColorIndex,Habitable
118156,2E 591,GJ 3166,451,129,14.87353,11.97548,8.33027,M3  e,12.1162061869,1.58,False
118161,2E 604,GJ 3171,444,180,16.01389,13.08881,2.50317,M5  e,14.4062061869,None,False
42319,3 Ursae Majoris,HIP 42438,502,558,-3.85766,4.63028,12.93649,G1.5Vb,4.85766058747,0.618,False
40760,30 Lyncis,HIP 40875,549,558,-9.72289,13.83001,26.78697,F4V,3.38637290946,0.421,False
86348,31 Draconis A,HIP 86614,396,524,-0.53178,-6.73386,20.97531,F5IV-V,2.85432245774,0.434,False
86354,31 Draconis B,HIP 86620,396,524,-0.53757,-6.81813,21.24782,G0V,4.06639006999,0.53,False
46376,31 Hydrae,HIP 46509,621,350,-13.51161,10.44792,-0.82607,F6V,3.42503681975,0.411,False
118629,31 Hydrae B,Gl 348  B,621,350,-13.51181,10.44811,-0.82041,K0,6.01503681975,0.87,False
110203,33 Pegasi,HIP 110548,283,57,28.92069,-12.92838,12.06421,F7V,3.54911007989,0.518,False
52165,33 Sextantis,HIP 52316,688,430,-32.37056,11.55777,-1.04487,K1IV,3.56797201094,0.88,False
86965,35 Draconis,HIP 87234,400,532,-0.3335,-7.2391,31.29526,F6IV-Vs,2.48589560341,0.518,False
50177,35 Leonis,HIP 50319,614,473,-25.05084,12.14509,12.10677,G2IV,3.53861797417,0.655,False
89072,36 Draconis,HIP 89348,372,520,0.61495,-10.13478,21.18917,F5V,3.13500809643,0.44,False
84148,36 Ophiuchi,HIP 84405,84,570,-1.03592,-5.25043,-2.67991,K2:III:,5.44462233297,0.855,False
119136,36 Ophiuchi A,HD 155886,84,570,-1.03566,-5.25107,-2.67874,K1 Ve,6.18462233297,0.85,False
84221,36 Ophiuchi C,HIP 84478,84,571,-1.0135,-5.24187,-2.66696,K5V,7.45085175845,1.144,False
51312,36 Ursae Majoris,HIP 51459,495,364,-6.6496,2.73298,10.65083,F8V,4.27545613234,0.541,False
106218,37 Capricorni,HIP 106559,204,249,20.53831,-15.07983,-9.31643,F5V,3.53277665442,0.423,False
5786,37 Ceti,HIP 5799,344,183,22.89004,7.70329,-3.36139,F5V,3.20444884644,0.448,False
33190,37 Geminorum,HIP 33277,632,35,-3.73028,15.15515,7.40284,G0V,4.55301774783,0.573,True
75988,37 Librae,HIP 76219,101,454,-16.93875,-22.92808,-5.05927,K1IV,2.30161166616,1.0,False
51665,37 Ursae Majoris,HIP 51814,529,510,-13.40261,5.20119,22.20778,F1V,3.04745899919,0.349,False
7064,38 Cassiopeiae,HIP 7078,420,599,9.10425,3.82826,27.53036,F6V,3.48949550398,0.489,False
62679,38 Virginis,HIP 62875,774,468,-31.58763,-7.46532,-2.01539,F5V,3.54922560056,0.493,False
50242,39 Leonis,HIP 50384,617,473,-18.8337,9.05932,8.91708,F8Vw,4.02775684281,0.5,False
118676,39 Leonis B,Gl 387  B,617,473,-18.83445,9.05687,8.91798,M1,9.61775684281,None,False
77566,39 Serpentis,HIP 77801,316,413,-8.93279,-14.46386,3.98667,G0IV,4.85963591557,0.598,False
19028,39 Tauri,HIP 19076,514,216,7.43844,13.60572,6.26786,G5V,4.7831427671,0.62,False
5972,40 Ceti,HIP 5985,359,171,28.00979,9.77884,-1.18059,F8,4.15686041414,0.563,True
19799,40 Eridani,HIP 19849,450,289,2.20549,4.48679,-0.67104,K1V,5.91595644516,0.82,False
50422,40 Leonis,HIP 50564,625,466,-18.07829,8.45517,7.05624,F6IV,3.15154944471,0.452,False
26301,40 Orionis,HIP 26366,602,148,3.53303,34.94212,5.74576,G8III-IV,1.33353159953,0.951,False
84463,41 Arae,HIP 84720,66,578,-1.07227,-5.93702,-6.38794,M0V,5.75090211671,0.764,False
96253,42 Aquilae,HIP 96556,212,354,13.24627,-29.13782,-2.60197,F3IV,2.91659304116,0.429,False
53075,46 Leonis Minoris,HIP 53229,583,476,-23.7175,7.10311,16.83557,K0III-IV,1.40873233406,1.04,False
13800,47 Arietis,HIP 13834,475,144,21.23848,20.88641,11.23736,F5IV,3.28533968199,0.415,False
9706,47 Cassiopeiae,HIP 9727,425,583,6.3141,3.83592,32.73366,F0Vn,2.64108132038,0.345,False
85107,47 Ophiuchi,HIP 85365,178,428,-4.34222,-29.61308,-2.66404,F3V,2.14091658809,0.385,False
53565,47 Ursae Majoris,HIP 53721,520,391,-10.3435,2.79717,9.12894,G0V,4.28751476385,0.624,False
78165,49 Librae,HIP 78400,109,438,-15.68129,-27.25216,-9.3328,F7V,2.89078712183,0.517,False
79253,49 Serpentis,HIP 79492,223,452,-10.63221,-21.16411,5.69839,G8V,4.74656580728,0.764,True
119072,49 Serpentis B,Gl 615.1B,223,452,-10.63374,-21.16284,5.70029,G8 V,5.56656580728,None,False
