hyg_id,name,code,x,y,3d_x,3d_y,3d_z,spectrum,absmag,colorindex,habitable,number_matches,type_matches,class_matches,complete,class,type
50174,24 Leonis Minoris,HIP 50316,602,481,-25.25724,12.25489,15.35867,G0V,3.9342501084,0.635,True,True,True,True,True,G,V
85774,26 Draconis,HIP 86036,380,507,-0.72335,-6.60156,12.42502,G0V,4.4856799751,0.602,False,True,True,True,True,G,V
119165,26 Draconis B,Gl 684  B,380,507,-0.72416,-6.60005,12.42578,K3 V,7.3156799751,1.1,False,True,True,True,True,K,V
82942,26 Ophiuchi,HIP 83196,127,407,-7.78659,-29.14031,-14.05801,F3V,3.1292223817,0.407,False,True,True,True,True,F,V
98716,27 Cygni,HIP 99031,282,551,10.25524,-16.67529,14.20927,K0IV,3.4618523615,0.85,False,True,True,True,True,K,V
17609,27 Eridani,HIP 17651,728,123,9.03882,13.76682,-7.07508,F3/F5V,2.9527818071,0.434,False,True,True,True,True,F,V
11814,29 Arietis,HIP 11843,450,154,21.7764,17.15211,7.44546,F8V,3.7103907317,0.572,False,True,True,True,True,F,V
42319,3 Ursae Majoris,HIP 42438,502,558,-3.85766,4.63028,12.93649,G1.5VB,4.8576605875,0.618,False,True,True,True,True,G,V
40760,30 Lyncis,HIP 40875,549,558,-9.72289,13.83001,26.78697,F4V,3.3863729095,0.421,False,True,True,True,True,F,V
86348,31 Draconis A,HIP 86614,396,524,-0.53178,-6.73386,20.97531,F5IV-V,2.8543224577,0.434,False,True,True,True,True,F,V
86354,31 Draconis B,HIP 86620,396,524,-0.53757,-6.81813,21.24782,G0V,4.06639007,0.53,False,True,True,True,True,G,V
46376,31 Hydrae,HIP 46509,621,350,-13.51161,10.44792,-0.82607,F6V,3.4250368198,0.411,False,True,True,True,True,F,V
110203,33 Pegasi,HIP 110548,283,57,28.92069,-12.92838,12.06421,F7V,3.5491100799,0.518,False,True,True,True,True,F,V
52165,33 Sextantis,HIP 52316,688,430,-32.37056,11.55777,-1.04487,K1IV,3.5679720109,0.88,False,True,True,True,True,K,V
86965,35 Draconis,HIP 87234,400,532,-0.3335,-7.2391,31.29526,F6IV-VS,2.4858956034,0.518,False,True,True,True,True,F,V
50177,35 Leonis,HIP 50319,614,473,-25.05084,12.14509,12.10677,G2IV,3.5386179742,0.655,False,True,True,True,True,G,V
89072,36 Draconis,HIP 89348,372,520,0.61495,-10.13478,21.18917,F5V,3.1350080964,0.44,False,True,True,True,True,F,V
84148,36 Ophiuchi,HIP 84405,84,570,-1.03592,-5.25043,-2.67991,K2:III:,5.444622333,0.855,False,True,True,True,True,K,I
119136,36 Ophiuchi A,HD 155886,84,570,-1.03566,-5.25107,-2.67874,K1 VE,6.184622333,0.85,False,True,True,True,True,K,V
84221,36 Ophiuchi C,HIP 84478,84,571,-1.0135,-5.24187,-2.66696,K5V,7.4508517585,1.144,False,True,True,True,True,K,V
51312,36 Ursae Majoris,HIP 51459,495,364,-6.6496,2.73298,10.65083,F8V,4.2754561323,0.541,False,True,True,True,True,F,V
106218,37 Capricorni,HIP 106559,204,249,20.53831,-15.07983,-9.31643,F5V,3.5327766544,0.423,False,True,True,True,True,F,V
5786,37 Ceti,HIP 5799,344,183,22.89004,7.70329,-3.36139,F5V,3.2044488464,0.448,False,True,True,True,True,F,V
33190,37 Geminorum,HIP 33277,632,35,-3.73028,15.15515,7.40284,G0V,4.5530177478,0.573,True,True,True,True,True,G,V
75988,37 Librae,HIP 76219,101,454,-16.93875,-22.92808,-5.05927,K1IV,2.3016116662,1,False,True,True,True,True,K,V
51665,37 Ursae Majoris,HIP 51814,529,510,-13.40261,5.20119,22.20778,F1V,3.0474589992,0.349,False,True,True,True,True,F,V
7064,38 Cassiopeiae,HIP 7078,420,599,9.10425,3.82826,27.53036,F6V,3.489495504,0.489,False,True,True,True,True,F,V
62679,38 Virginis,HIP 62875,774,468,-31.58763,-7.46532,-2.01539,F5V,3.5492256006,0.493,False,True,True,True,True,F,V
50242,39 Leonis,HIP 50384,617,473,-18.8337,9.05932,8.91708,F8VW,4.0277568428,0.5,False,True,True,True,True,F,V
77566,39 Serpentis,HIP 77801,316,413,-8.93279,-14.46386,3.98667,G0IV,4.8596359156,0.598,False,True,True,True,True,G,V
19028,39 Tauri,HIP 19076,514,216,7.43844,13.60572,6.26786,G5V,4.7831427671,0.62,False,True,True,True,True,G,V
19799,40 Eridani,HIP 19849,450,289,2.20549,4.48679,-0.67104,K1V,5.9159564452,0.82,False,True,True,True,True,K,V
50422,40 Leonis,HIP 50564,625,466,-18.07829,8.45517,7.05624,F6IV,3.1515494447,0.452,False,True,True,True,True,F,V
26301,40 Orionis,HIP 26366,602,148,3.53303,34.94212,5.74576,G8III-IV,1.3335315995,0.951,False,True,True,True,True,G,V
84463,41 Arae,HIP 84720,66,578,-1.07227,-5.93702,-6.38794,M0V,5.7509021167,0.764,False,True,True,True,True,M,V
96253,42 Aquilae,HIP 96556,212,354,13.24627,-29.13782,-2.60197,F3IV,2.9165930412,0.429,False,True,True,True,True,F,V
53075,46 Leonis Minoris,HIP 53229,583,476,-23.7175,7.10311,16.83557,K0III-IV,1.4087323341,1.04,False,True,True,True,True,K,V
13800,47 Arietis,HIP 13834,475,144,21.23848,20.88641,11.23736,F5IV,3.285339682,0.415,False,True,True,True,True,F,V
9706,47 Cassiopeiae,HIP 9727,425,583,6.3141,3.83592,32.73366,F0VN,2.6410813204,0.345,False,True,True,True,True,F,V
85107,47 Ophiuchi,HIP 85365,178,428,-4.34222,-29.61308,-2.66404,F3V,2.1409165881,0.385,False,True,True,True,True,F,V
53565,47 Ursae Majoris,HIP 53721,520,391,-10.3435,2.79717,9.12894,G0V,4.2875147639,0.624,False,True,True,True,True,G,V
78165,49 Librae,HIP 78400,109,438,-15.68129,-27.25216,-9.3328,F7V,2.8907871218,0.517,False,True,True,True,True,F,V
79253,49 Serpentis,HIP 79492,223,452,-10.63221,-21.16411,5.69839,G8V,4.7465658073,0.764,True,True,True,True,True,G,V
